term,meaning,type,latin,native,language
xom,now,m,,,
xopsak,dashing,m,xiaosa,潇洒,chinese
xov,configure/configuration,o,,,
xox,change,a,,,
xoxan,lily,o,shoshan,שׁוֹשָׁן,hebrew
xoxaq,hurt,a,shòushāng,受伤,chinese
xoxon,sale,o,xiaoshou,销售,chinese
xravak,disciple,o,śrāvaka,श्रावक,sanskrit
xravas,fame,o,,श्रवस्,sanskrit
xrum,mushroom,o,,,english
xubor,shatter,a,lixb(o)R,לִשְׁבּוֹר,hebrew
xubtuk,slump,a,shuaitui,衰退,chinese
xudjan,trim,a,xiū jiǎn,修剪,chinese
xufun,fix,a,xiū fù,修复,chinese
xuhak,fling,a,shuai,甩,chinese
xuk,sniff,o,,,
xul,subtract,a,,,
xulof,extract,a,lixl(o)f,לִשְׁלוֹף,hebrew
xulrul,debilitate,a,xuruo,虚弱,chinese
xum,sky,o,,,
xuman,fat,o,shuman,שׁוּמָּן,hebrew
xunat,impair,a,shunhai,损害,chinese
xunip,virtual,a,xū nǐ,虚拟,chinese
xunlan,drill (training),a,xùnliàn,训练,chinese
xuntxoq,submissive,m,shùn cóng,顺从,chinese
xunwan,circular,m,xún huán,循环,chinese
xupiq,horizontal,o,shuǐpíng,水平,chinese
xuq,fusion,o,,,
xur,sure,m,,,english
xuraq,row,o,shura,שׁוּרָה,hebrew
xutxal,vegetable,o,shū cài,蔬菜,chinese
xutxik,shame,o,xiū chǐ,羞耻,chinese
xutxuq,export,m,shūchū,输出,chinese
xuxiq,cozy,o,shūshì,舒适,chinese
xuxit,familiar,m,shú xī,熟悉,chinese
xuyum,belong,o,shǔyū,属于,chinese
xuzik,digital,o,shù zì,数字,chinese
xuzwok,desk,o,shū zhuō,书桌,chinese
xwanfeq,whirlwind,o,xuàn fēng,旋风,chinese
xwanlaq,hearty,m,shuǎng lǎng,爽朗,chinese
xwexal,school,o,xué xiào,学校,chinese
xwexeq,academic,o,xuéshēng,学生,chinese
xwexik,emulate,a,xuéxí,学习,chinese
xwezem,scholar,o,xué zhě,学者,chinese
xwomiq,illustrate,a,shuōmíng,说明,chinese
yabiq,import,o,leyab(e),לְייַבֵּא,hebrew
yacam,kneel,o,jaṯama,جَثَمَ,arabic
yaCnak,dwindle,a,,hjaðna,icelandic
yahar,forest,o,ya'ar,יַעַר,hebrew
yahir,arrogant,m,yahir,יָהִיר,hebrew
yahud,jew,a,yahūdiyy,يَهُودِيّ,arabic
yahul,solve,a,yahullu,يَحُلُّ,arabic
yakaf,fear,o,yakhaf,يخاف,arabic
yakas,sentiment,o,yákhas,יַחַס,hebrew
yakid,designate,m,leyaH(e)d,לְייַחֵד,hebrew
yakir,darling,o,yakira,יַקִּירָה,hebrew
yaldan,gist,a,yaodian,要点,chinese
yalid,native,m,yalid,יָלִיד,hebrew
yalwan,remote,m,yáoyuǎn,遥远,chinese
yalxip,key,o,yào shi,钥匙,chinese
yan,vehicle,o,yana,यान,sanskrit
yandjun,grim,m,yán jùn,严峻,chinese
yanlal,raw,m,yuánliào,原料,chinese
yanlin,stern,m,yanli,严厉,chinese
yanmon,inundate,o,yanmo,淹没,chinese
yantxim,delay,o,yanchi,延迟,chinese
yantxiq,remote (distance),o,yuancheng,远程,chinese
yanwuk,smog,o,yān wù,烟雾,chinese
yanxip,maneuver,o,yanxi,演习,chinese
yanxuf,owl,o,yanshuf,יַנְשׁוּף,hebrew
yanxun,perpetuate,a,yanxu,延续,chinese
yanyin,causal agent,o,yuányīn,原因,chinese
yanzoq,severe,a,yanzhong,严重,chinese
yap,yep,m,,,english
yapad,destination,o,ya'ad,יַעַד,hebrew
yaq,might,m,lìliàng,,chinese
yaqget,strict,a,yange,严格,chinese
yaqkut,infancy,m,yanqut,יַנְקוּת,hebrew
yardan,yard (measurement),o,,,english
yarek,thigh,o,yarech,יָרֵךְ,hebrew
yarit,intercept,o,leyaR(e)t,לְייָרֵט,hebrew
yariv,opponent,o,yariv,יָרִיב,hebrew
yarn,y sound,o,,,
yarok,green,o,yarok,יָרֹק,hebrew
yas,plural (many),m,,,
yat,yet,m,,,english
yatim,orphan,o,yatīm,يَتِيم,arabic
yatir,obsolete,a,leyat(e)R,לְייַתֵּר,hebrew
yatxat,sustain,a,,यच्छति,sanskrit
yatzig,represent,a,leyatz(e)g,לְייַצֵּג,hebrew
yaxas,worthy,m,yashas,यशस्,sanskrit
yaxav,sit,a,yasháv,יָשַׁב,hebrew
yayan,rumor,o,yaoyan,谣言,chinese
yedjan,nocturnal,o,yè jiān,夜间,chinese
yeduq,peruse,a,yuèdú,阅读,chinese
yehud,praise,m,yehuda,יְהוּדָה,hebrew
yehux,despair,a,ye'ush,יֵיאוּשׁ,hebrew
yeter,hypotenuse,o,yeter,יתר,hebrew
yetzir,instinct,a,yetzer,יֵצֶר,hebrew
yevul,yield,a,yevul,יְבוּל,hebrew
yewip,appointment,o,yuē huì,约会,chinese
yex,possible,a,yěxǔ,也许,chinese
yexin,ambition,o,yě xīn,野心,chinese
yeyuk,amateur,o,yè yú,业余,chinese
yiban,general (vs. specific),o,yībān,一般,chinese
yidjiq,already,m,yǐjīng,已经,chinese
yidoq,mobile,o,yidong,移动,chinese
yifug,clothing,o,yifu,衣服,chinese
yifut,gear (wear),o,yīfú,衣服,chinese
yikal,depend,o,yī kào,依靠,chinese
yiktxan,heritage,o,yichan,遗产,chinese
yilal,treat (patient),a,yīliáo,医疗,chinese
yild,vowel large I sound,o,,,
yiliq,collar,o,yī lǐng,衣领,chinese
yinan,murky,o,yinan,阴暗,chinese
yinsuk,element,o,yīnsù,因素,chinese
yintxin,elicit,a,yǐnqǐ,引起,chinese
yinxaq,image,o,yìnxiàng,印象,chinese
yinyoq,application,o,yìng yòng,应用,chinese
yip,resemble,a,,,
yiq,foundation,o,,,
yiqbyan,strain,o,yìng biàn,应变,chinese
yiqful,cope,a,yingfu,应付,chinese
yiqfup,hack (work),a,yìngfù,应付,chinese
yiqral,linger,o,yingrao,萦绕,chinese
yiqyaq,nutritious,m,yíng yǎng,营养,chinese
yisud,founding,o,yisud,יִיסּוּד,hebrew
yituk,intent,o,yì tú,意图,chinese
yitur,chord,o,yeter,יֶתֶר,hebrew
yitxin,ergo,o,yinci,因此,chinese
yixeq,doctor,o,yī shēng,医生,chinese
yixik,faintly,m,yixi,依稀,chinese
yixiv,session,o,yeshiva,יְשִׁיבָה,hebrew
yixum,art,o,yì shù,艺术,chinese
yiyig,paraphrase,o,yiyi,意译,chinese
yizip,chair,o,yǐ zi,椅子,chinese
yod,sort,a,,,
yog,practice of focusing on x (-ism),a,,,
yolan,gloom,o,yōu àn,幽暗,chinese
yoldan,merit,o,youdian,优点,chinese
yoldjim,organic,m,yǒu jī,有机,chinese
yoliq,phantom,o,youling,幽灵,chinese
yoltxun,funny,m,yǒu qù,有趣,chinese
yolxal,valid,m,yǒu xiào,有效,chinese
yolxiq,tangible,m,youxing,有形,chinese
yolxur,outstanding,m,yōu xiù,优秀,chinese
yolyur,superior,m,youyue,优越,chinese
yom,day,o,yom,יוֹם,hebrew
yoman,log (diary),o,yoman,יוֹמָן,hebrew
yonwan,forever,m,yǒngyuǎn,永远,chinese
yoqdjil,permanent,a,yongjiu,永久,chinese
yoqdjup,tackle,o,yòng jù,用具,chinese
yoqeq,eternal,m,yǒnghéng,永恒,chinese
yoqgan,brave,m,yonggan,勇敢,chinese
yoqtxik,grit (strength),m,yǒngqì,勇气,chinese
yoqyol,retain,a,yǒngyǒu,拥有,chinese
yoril,bait,a,youer,诱饵,chinese
york,10^2,o,,,
yosaf,increase,a,yosef,יוֹסֵף,hebrew
yosif,continue,a,yos(e)f,יוֹסֵף,hebrew
yov,consequence,o,,,
yoxan,priority,m,yōuxiān,优先,chinese
yoxav,inhabitant,o,yoshév,יוֹשֵׁב,hebrew
yoxiv,resident,o,yoshev,יוֹשֵׁב,hebrew
yoyul,hesitant,m,youyu,犹豫,chinese
yuc,with (con-),a,,,
yuCap,nag,o,,juða,icelandic
yucwam,heap,o,juṯwa,جُثْوَة,arabic
yudiq,schedule,o,yūdìng,预定,chinese
yudjip,estimate,a,yuji,预计,chinese
yudoq,sport,o,yùndòng,运动,chineese
yudum,noxious,m,yǒu dú,有毒,chinese
yugan,hunch,o,yugan,预感,chinese
yugman,even,m,yugmán,युग्मन्,sanskrit
yukan,yucca,o,,,english
yulkal,pleasant,m,yukuai,愉快,chinese
yundoq,campaign,o,yundong,运动,chinese
yunyoq,wield,a,yùn yòng,运用,chinese
yuq,non-foundation,m,,,
yutxun,idiotic,m,yuchun,愚蠢,chinese
yuxaq,bruise,a,yū shāng,瘀伤,chinese
yuxit,hence,m,yūshì,于是,chinese
yuz,use,a,,,
zadjim,acrobatic,m,zá jì,杂技,chinese
zag,because,m,,,
zahot,recognise,m,lezah(o)t,לְזַהוֹת,hebrew
zakal,maggot,o,zachal,זַחַל,hebrew
zakan,beard,o,zakan,זָקָן,hebrew
zakar,masculine,o,zachar,זָכָר,hebrew
zaken,age,o,zak(e)n,זָקֵן,hebrew
zakgal,lousy,m,zaogao,糟糕,chinese
zakuf,erect,m,zakúf,זָקוּף,hebrew
zakut,privilege,a,zchut,זְכוּת,hebrew
zalam,oppress,a,ẓalama,ظَلَمَ,arabic
zaldal,chance,o,zhǎodào,找到,chinese
zalot,grill,o,litzl(o)t,לִצְלוֹת,hebrew
zaltxan,slink,o,zaochan,早产,chinese
zalwan,clutter,o,zá luàn,杂乱,chinese
zalzek,marsh (land),o,zhaoze,沼泽,chinese
zam,plasma (matter),o,,,english
zamar,prune (fruit),o,zamár,זָמַר,hebrew
zamrer,fright,o,letzamR(e)R,לְצַמְרֵר,hebrew
zanak,abandon,a,zanákh,זָנַח,hebrew
zanlan,exhibit,a,zhanlan,展览,chinese
zantxeq,subscribe,a,zànchéng,赞成,chinese
zanwan,summon,o,zhanhuan,召唤,chinese
zanwaq,delirious,m,zhān wàng,谵妄,chinese
zanzeq,war,o,zhàn zhēng,战争,chinese
zanzim,transpose,o,zhuanzhi,转置,chinese
zapam,fury,o,za'am,זַעַם,hebrew
zaqlip,funeral,o,zàng lǐ,葬礼,chinese
zar,fall,a,,,
zarak,shine,a,zarách,זָרַח,hebrew
zaran,tragedy,a,tzara,צָרָה,hebrew
zarat,sow,o,zaraʿa,زَرَعَ,arabic
zatad,march (foot),o,tza'ada,צַעֲדָה,hebrew
zatit,quote,o,letzat(e)t,לְצַטֵּט,hebrew
zatxan,bond,o,zhaiquan,债券,chinese
zavit,angle,o,zavit,זווית,hebrew
zayet,obey,a,letzay(e)t,לְצַייֵּת,hebrew
zayif,fake,m,lezay(e)f,לְזַייֵּף,hebrew
zaytun,olive,o,zaytūn,زَيْتُون,arabic
zaz,fact (something that happened),a,,,
zed,side,a,,,english
zek,agent (one who does x),o,zhě,者,chinese
zekol,discount,a,zhé kòu,折扣,chinese
zen,one,m,,,
zendjiq,astonish,m,zhèn jīng,震惊,chinese
zentxaq,normal,m,zhèngcháng,正常,chinese
zentxek,proper,m,zhèngquè,正确,chinese
zenxip,authentic,m,zhēn shí,真实,chinese
zenyig,controversy,a,zhengyi,争议,chinese
zepak,cry,a,tze'aka,צְעָקָה,hebrew
zeqdjan,increase,a,zēngjiā,增加,chinese
zeqdul,scramble,a,zhengduo,争夺,chinese
zeqtxen,policy,o,zhèng cè,政策,chinese
zeqyim,dispute,o,zhēngyì,争议,chinese
zeqzam,flounder,o,zhēngzhá,挣扎,chinese
zeqzik,integrity,o,zhengzhi,正直,chinese
zeqzit,politics,a,zhèngzhì,政治,chinese
zetx,1000,o,,,
zetzol,pucker,a,zhezhou,皱褶,chinese
zevak,sacrifice,a,zevach,זֶבַח,hebrew
zibal,quota,o,zhǐbiāo,指标,chinese
ziban,capital,o,ziben,资本,chinese
zibur,public,o,tzibur,צִיבּוּר,hebrew
zidaq,automatic,o,zì dòng,自动,chinese
zidiq,nominate,a,zhǐdìng,指定,chinese
zidjak,fingernail,o,zhǐ jia,指甲,chinese
zidjek,direct (immediate),m,zhíjiē,直接,chinese
zidjul,sentience,o,zhijue,知觉,chinese
zifat,tar,o,zefet,זֶפֶת,hebrew
zig,equal (iso-),o,,,
zihum,pollute,a,zihum,זִיהוּם,hebrew
zihut,identity,o,zehut,זֶהוּת,hebrew
zikap,affinity,o,zika,זִיקָּה,hebrew
zikpaq,erection (of penis),a,zikpa,זִקְפָּה,hebrew
zikuk,flare,o,zikuk,זִיקּוּק,hebrew
zikxur,philosophy,o,zhexue,哲学,chinese
zilal,data,o,zīliào,资料,chinese
zilaq,mass,o,zhiliang,质量,chinese
zilik,intellect,o,zhì lì,智力,chinese
zimuk,wrinkling,o,tzimuk,צִימּוּק,hebrew
zimzum,buzz,o,zimzum,זִימְזוּם,hebrew
zindaq,oscillate,a,zhendang,振荡,chinese
zintxal,chastity,m,zhencao,贞操,chinese
zinuk,dash (spurt),o,zinuk,זִינּוּק,hebrew
zip,graph,o,,,
zir,pertaining to x (pleasantry),o,,,
ziram,movement (political/etc.),o,zerem,זֶרֶם,hebrew
ziran,nature,o,zìrán,自然,chinese
ziraz,catalyze,a,zeréz,זֵרֵז,hebrew
ziret,factorial (math),o,atzeret,עֲצֶרֶת,hebrew
zirok,consume,a,litzR(o)H,לִצְרוֹךְ,hebrew
zisik,selfish,o,zì sī,自私,chinese
zital,stance,o,zitai,姿态,chinese
zitxum,spend,a,zhichu,支出,chinese
zivyon,style,o,tzivyon,צִבְיוֹן,hebrew
zix,compose,a,,,
zixak,beneath,m,zhīxià,之下,chinese
zixal,least,m,zhìshǎo,至少,chinese
zixun,stuff,o,zīxùn,资讯,chinese
ziyep,profession,o,zhiye,职业,chinese
ziyun,grade (score),o,tziyun,צִיּוּן,hebrew
zizut,haste,o,pzizut,פְּזִיזוּת,hebrew
zofin,cipher,o,tzofen,צוֹפֶן,hebrew
zok,try,a,,,
zondak,crucial,m,zhòngdà,重大,chinese
zonlaq,weight,o,zhòng liàng,重量,chinese
zoqtxeq,loyal,o,zhōng chéng,忠诚,chinese
zoqxin,hub,o,zhōngxīn,中心,chinese
zoqyal,major,m,zhòngyào,重要,chinese
zoren,behave,a,zuoren,做人,chinese
zotet,eavesdrop,o,letzot(e)t,לְצוֹתֵת,hebrew
zox,sense,o,,,
zoxan,social,o,zhouxuan,周旋,chinese
zudjik,host,o,zhuji,主机,chinese
zuher,congratulate,a,zhuhe,祝贺,chinese
zuk,where,m,,,
zukdjin,recent,m,zuijin,最近,chinese
zukxiq,offence,o,zuixing,罪行,chinese
zul,animal,o,zoia,ζῷᾰ,greek
zum,axiom,o,,,english
zumiq,famous,m,zhuming,著名,chinese
zumom,plot,o,lizm(o)m,לִזְמוֹם,hebrew
zunal,thwart,m,zǔ náo,阻挠,chinese
zunben,intend,a,zhǔnbèi,准备,chinese
zunbep,prepare,a,zhǔnbèi,准备,chinese
zunxok,comply,a,zunshou,遵守,chinese
zupon,conceal,a,litzp(o)n,לִצְפּוֹן,hebrew
zuqk,z sound,o,,,
zus,do,a,,,
zutxik,enroll,a,zhuce,注册,chinese
zuwaq,earn,a,zhuang,赚,chinese
zuyik,sufficient,m,zúyǐ,足以,chinese
zuzig,organize,a,zuzhi,组织,chinese
zuzon,book,o,zhùzuò,著作,chinese
zwandjam,expert,a,zhuānjiā,专家,chinese
zwankwaq,scene,o,zhuàngkuàng,状况,chinese
zwantal,status,o,zhuàngtài,状态,chinese
zwanyan,delve,a,zuanyan,钻研,chinese
zwanyim,divert,a,zhuanyi,转移,chinese
zwihol,final,o,zuì hòu,最后,chinese
zwizoq,ultimate,m,zuì zhōng,最终,chinese
zwoyen,task,a,zuòyè,作业,chinese
